timestamp_et,market_title,outcome,side,size,price
2026-01-02 10:15:15,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,21.24,0.48
2026-01-02 10:15:15,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.48
2026-01-02 10:15:17,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.48
2026-01-02 10:15:17,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.48
2026-01-02 10:15:19,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,16.19,0.48
2026-01-02 10:15:19,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.51
2026-01-02 10:15:21,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.51
2026-01-02 10:15:23,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.51
2026-01-02 10:15:23,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.51
2026-01-02 10:15:29,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.5
2026-01-02 10:15:29,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.5
2026-01-02 10:15:29,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.5
2026-01-02 10:15:31,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,3.05,0.49
2026-01-02 10:15:31,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,12,0.51
2026-01-02 10:15:31,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.51
2026-01-02 10:15:39,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,21.53,0.51
2026-01-02 10:15:39,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.53
2026-01-02 10:15:41,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,26.16,0.53
2026-01-02 10:15:45,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.55
2026-01-02 10:15:45,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.55
2026-01-02 10:15:57,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.45
2026-01-02 10:16:03,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.49
2026-01-02 10:16:03,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.5
2026-01-02 10:16:03,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.5
2026-01-02 10:16:03,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.4918033333333333
2026-01-02 10:16:03,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,29.59,0.5
2026-01-02 10:16:03,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.5
2026-01-02 10:16:07,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.52
2026-01-02 10:16:07,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,16.9,0.52
2026-01-02 10:16:07,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.52
2026-01-02 10:16:09,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.53
2026-01-02 10:16:11,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,1.17,0.49
2026-01-02 10:16:17,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.5
2026-01-02 10:16:25,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,6,0.52
2026-01-02 10:16:27,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.47
2026-01-02 10:16:27,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.54
2026-01-02 10:16:27,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.54
2026-01-02 10:16:27,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,5,0.49
2026-01-02 10:16:27,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.47
2026-01-02 10:16:29,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,26.34,0.5
2026-01-02 10:16:29,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.5
2026-01-02 10:16:29,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.52
2026-01-02 10:16:35,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.54
2026-01-02 10:16:41,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.58
2026-01-02 10:16:41,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.58
2026-01-02 10:16:41,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.58
2026-01-02 10:16:41,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.58
2026-01-02 10:16:43,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.58
2026-01-02 10:16:47,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.64
2026-01-02 10:16:49,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.65
2026-01-02 10:16:49,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.65
2026-01-02 10:16:53,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,5,0.37
2026-01-02 10:16:55,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,30,0.38
2026-01-02 10:16:57,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.67
2026-01-02 10:16:57,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.67
2026-01-02 10:16:59,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.67
2026-01-02 10:16:59,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.67
2026-01-02 10:16:59,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,30,0.67
