Starting Threaded Data Logger...
 - Fetch Interval: 1s
 - Write Buffer: 5s
 - Max Concurrent Requests: 15
Writer thread started.
/app/src/data_collection/data_logger.py:35: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  timestamp_utc = datetime.datetime.utcnow()
   [Time] Gamma API btc-updown-15m-1767453300: 0.221s
[2026-01-03 15:15:46] Fetched: Up(0.435) Down(0.565) fetch_time=0.663s
[2026-01-03 15:15:47] Fetched: Up(0.430) Down(0.575) fetch_time=0.403s
[2026-01-03 15:15:48] Fetched: Up(0.425) Down(0.575) fetch_time=0.386s
[2026-01-03 15:15:49] Fetched: Up(0.425) Down(0.575) fetch_time=0.409s
[2026-01-03 15:15:50] Fetched: Up(0.425) Down(0.575) fetch_time=0.392s
--> Flushed 5 records to disk.
[2026-01-03 15:15:51] Fetched: Up(0.425) Down(0.575) fetch_time=0.412s
[2026-01-03 15:15:52] Fetched: Up(0.425) Down(0.575) fetch_time=0.393s
[2026-01-03 15:15:53] Fetched: Up(0.425) Down(0.575) fetch_time=0.417s
[2026-01-03 15:15:54] Fetched: Up(0.425) Down(0.575) fetch_time=0.384s
[2026-01-03 15:15:55] Fetched: Up(0.425) Down(0.575) fetch_time=0.407s
--> Flushed 5 records to disk.
[2026-01-03 15:15:56] Fetched: Up(0.430) Down(0.575) fetch_time=0.440s
[2026-01-03 15:15:57] Fetched: Up(0.430) Down(0.575) fetch_time=0.391s
[2026-01-03 15:15:58] Fetched: Up(0.425) Down(0.575) fetch_time=0.417s
[2026-01-03 15:15:59] Fetched: Up(0.425) Down(0.575) fetch_time=0.389s
[2026-01-03 15:16:00] Fetched: Up(0.430) Down(0.570) fetch_time=0.402s
--> Flushed 5 records to disk.
[2026-01-03 15:16:01] Fetched: Up(0.435) Down(0.565) fetch_time=0.393s
[2026-01-03 15:16:02] Fetched: Up(0.465) Down(0.535) fetch_time=0.386s
[2026-01-03 15:16:03] Fetched: Up(0.475) Down(0.525) fetch_time=0.388s
[2026-01-03 15:16:04] Fetched: Up(0.475) Down(0.525) fetch_time=0.403s
[2026-01-03 15:16:05] Fetched: Up(0.475) Down(0.525) fetch_time=0.402s
--> Flushed 5 records to disk.
[2026-01-03 15:16:06] Fetched: Up(0.475) Down(0.525) fetch_time=0.389s
[2026-01-03 15:16:07] Fetched: Up(0.465) Down(0.535) fetch_time=0.397s
[2026-01-03 15:16:08] Fetched: Up(0.470) Down(0.530) fetch_time=0.392s
[2026-01-03 15:16:09] Fetched: Up(0.465) Down(0.535) fetch_time=0.409s
[2026-01-03 15:16:10] Fetched: Up(0.465) Down(0.535) fetch_time=0.399s
--> Flushed 5 records to disk.
[2026-01-03 15:16:11] Fetched: Up(0.465) Down(0.535) fetch_time=0.385s
[2026-01-03 15:16:12] Fetched: Up(0.465) Down(0.540) fetch_time=0.393s
[2026-01-03 15:16:13] Fetched: Up(0.460) Down(0.540) fetch_time=0.398s
[2026-01-03 15:16:14] Fetched: Up(0.465) Down(0.535) fetch_time=0.442s
[2026-01-03 15:16:15] Fetched: Up(0.465) Down(0.535) fetch_time=0.384s
--> Flushed 5 records to disk.
[2026-01-03 15:16:16] Fetched: Up(0.465) Down(0.525) fetch_time=0.413s
[2026-01-03 15:16:17] Fetched: Up(0.475) Down(0.525) fetch_time=0.397s
[2026-01-03 15:16:18] Fetched: Up(0.475) Down(0.525) fetch_time=0.405s
[2026-01-03 15:16:19] Fetched: Up(0.465) Down(0.535) fetch_time=0.420s
[2026-01-03 15:16:20] Fetched: Up(0.465) Down(0.530) fetch_time=0.384s
--> Flushed 5 records to disk.
[2026-01-03 15:16:21] Fetched: Up(0.465) Down(0.535) fetch_time=0.382s
[2026-01-03 15:16:22] Fetched: Up(0.465) Down(0.535) fetch_time=0.399s
[2026-01-03 15:16:23] Fetched: Up(0.485) Down(0.515) fetch_time=0.395s
[2026-01-03 15:16:24] Fetched: Up(0.475) Down(0.525) fetch_time=0.407s
[2026-01-03 15:16:25] Fetched: Up(0.475) Down(0.515) fetch_time=0.430s
--> Flushed 5 records to disk.
[2026-01-03 15:16:26] Fetched: Up(0.480) Down(0.520) fetch_time=0.405s
[2026-01-03 15:16:27] Fetched: Up(0.475) Down(0.525) fetch_time=0.407s
[2026-01-03 15:16:28] Fetched: Up(0.475) Down(0.525) fetch_time=0.389s
[2026-01-03 15:16:29] Fetched: Up(0.485) Down(0.515) fetch_time=0.436s
[2026-01-03 15:16:30] Fetched: Up(0.475) Down(0.525) fetch_time=0.473s
--> Flushed 5 records to disk.
[2026-01-03 15:16:31] Fetched: Up(0.485) Down(0.515) fetch_time=0.420s
[2026-01-03 15:16:32] Fetched: Up(0.475) Down(0.525) fetch_time=0.402s
[2026-01-03 15:16:33] Fetched: Up(0.475) Down(0.525) fetch_time=0.413s
[2026-01-03 15:16:34] Fetched: Up(0.475) Down(0.525) fetch_time=0.387s
[2026-01-03 15:16:35] Fetched: Up(0.475) Down(0.525) fetch_time=0.391s
--> Flushed 5 records to disk.
[2026-01-03 15:16:36] Fetched: Up(0.475) Down(0.525) fetch_time=0.386s
[2026-01-03 15:16:37] Fetched: Up(0.465) Down(0.535) fetch_time=0.443s
[2026-01-03 15:16:38] Fetched: Up(0.480) Down(0.520) fetch_time=0.434s
[2026-01-03 15:16:39] Fetched: Up(0.480) Down(0.520) fetch_time=0.394s
[2026-01-03 15:16:40] Fetched: Up(0.480) Down(0.520) fetch_time=0.393s
--> Flushed 5 records to disk.
[2026-01-03 15:16:41] Fetched: Up(0.465) Down(0.535) fetch_time=0.411s
[2026-01-03 15:16:42] Fetched: Up(0.465) Down(0.535) fetch_time=0.408s
[2026-01-03 15:16:43] Fetched: Up(0.470) Down(0.530) fetch_time=0.427s
[2026-01-03 15:16:44] Fetched: Up(0.480) Down(0.520) fetch_time=0.390s
[2026-01-03 15:16:45] Fetched: Up(0.485) Down(0.515) fetch_time=0.399s
