Starting Threaded Data Logger...
 - Fetch Interval: 1s
 - Write Buffer: 5s
 - Max Concurrent Requests: 15
Writer thread started.
/app/src/data_collection/data_logger.py:32: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  timestamp = datetime.datetime.utcnow().strftime('%Y-%m-%d %H:%M:%S')
   [Time] Gamma API btc-updown-15m-1767452400: 0.198s
[2026-01-03 15:13:14] Fetched: Up(0.000) Down(0.000) fetch_time=0.629s
[2026-01-03 15:13:15] Fetched: Up(0.000) Down(0.000) fetch_time=0.414s
[2026-01-03 15:13:16] Fetched: Up(0.000) Down(0.000) fetch_time=0.454s
[2026-01-03 15:13:17] Fetched: Up(0.000) Down(0.000) fetch_time=0.403s
[2026-01-03 15:13:18] Fetched: Up(0.000) Down(0.000) fetch_time=0.401s
--> Flushed 5 records to disk.
[2026-01-03 15:13:19] Fetched: Up(0.000) Down(0.000) fetch_time=0.409s
[2026-01-03 15:13:20] Fetched: Up(0.000) Down(0.000) fetch_time=0.450s
[2026-01-03 15:13:21] Fetched: Up(0.000) Down(0.000) fetch_time=0.403s
[2026-01-03 15:13:22] Fetched: Up(0.000) Down(0.000) fetch_time=0.443s
[2026-01-03 15:13:23] Fetched: Up(0.000) Down(0.000) fetch_time=0.420s
--> Flushed 5 records to disk.
[2026-01-03 15:13:24] Fetched: Up(0.000) Down(0.000) fetch_time=0.380s
[2026-01-03 15:13:25] Fetched: Up(0.000) Down(0.000) fetch_time=0.402s
[2026-01-03 15:13:26] Fetched: Up(0.000) Down(0.000) fetch_time=0.551s
[2026-01-03 15:13:27] Fetched: Up(0.000) Down(0.000) fetch_time=0.545s
[2026-01-03 15:13:28] Fetched: Up(0.000) Down(0.000) fetch_time=0.550s
--> Flushed 5 records to disk.
[2026-01-03 15:13:29] Fetched: Up(0.000) Down(0.000) fetch_time=0.556s
[2026-01-03 15:13:30] Fetched: Up(0.000) Down(0.000) fetch_time=0.383s
[2026-01-03 15:13:31] Fetched: Up(0.000) Down(0.000) fetch_time=0.397s
[2026-01-03 15:13:32] Fetched: Up(0.000) Down(0.000) fetch_time=0.393s
[2026-01-03 15:13:33] Fetched: Up(0.000) Down(0.000) fetch_time=0.420s
--> Flushed 5 records to disk.
[2026-01-03 15:13:34] Fetched: Up(0.000) Down(0.000) fetch_time=0.440s
[2026-01-03 15:13:35] Fetched: Up(0.000) Down(0.000) fetch_time=0.405s
[2026-01-03 15:13:36] Fetched: Up(0.000) Down(0.000) fetch_time=0.392s
[2026-01-03 15:13:37] Fetched: Up(0.000) Down(0.000) fetch_time=0.387s
[2026-01-03 15:13:38] Fetched: Up(0.000) Down(0.000) fetch_time=0.401s
--> Flushed 5 records to disk.
[2026-01-03 15:13:39] Fetched: Up(0.000) Down(0.000) fetch_time=0.404s
[2026-01-03 15:13:40] Fetched: Up(0.000) Down(0.000) fetch_time=0.386s
[2026-01-03 15:13:41] Fetched: Up(0.000) Down(0.000) fetch_time=0.415s
[2026-01-03 15:13:42] Fetched: Up(0.000) Down(0.000) fetch_time=0.415s
[2026-01-03 15:13:43] Fetched: Up(0.000) Down(0.000) fetch_time=0.418s
--> Flushed 5 records to disk.
[2026-01-03 15:13:44] Fetched: Up(0.000) Down(0.000) fetch_time=0.404s
[2026-01-03 15:13:45] Fetched: Up(0.000) Down(0.000) fetch_time=0.399s
[2026-01-03 15:13:46] Fetched: Up(0.000) Down(0.000) fetch_time=0.404s
[2026-01-03 15:13:47] Fetched: Up(0.000) Down(0.000) fetch_time=0.402s
[2026-01-03 15:13:48] Fetched: Up(0.000) Down(0.000) fetch_time=0.414s
--> Flushed 5 records to disk.
[2026-01-03 15:13:49] Fetched: Up(0.000) Down(0.000) fetch_time=0.397s
[2026-01-03 15:13:50] Fetched: Up(0.000) Down(0.000) fetch_time=0.400s
[2026-01-03 15:13:51] Fetched: Up(0.000) Down(0.000) fetch_time=0.405s
[2026-01-03 15:13:52] Fetched: Up(0.000) Down(0.000) fetch_time=0.437s
[2026-01-03 15:13:53] Fetched: Up(0.000) Down(0.000) fetch_time=0.418s
--> Flushed 5 records to disk.
[2026-01-03 15:13:54] Fetched: Up(0.000) Down(0.000) fetch_time=0.397s
[2026-01-03 15:13:55] Fetched: Up(0.000) Down(0.000) fetch_time=0.382s
[2026-01-03 15:13:56] Fetched: Up(0.000) Down(0.000) fetch_time=0.397s
[2026-01-03 15:13:57] Fetched: Up(0.000) Down(0.000) fetch_time=0.393s
[2026-01-03 15:13:58] Fetched: Up(0.000) Down(0.000) fetch_time=0.442s
--> Flushed 5 records to disk.
[2026-01-03 15:13:59] Fetched: Up(0.000) Down(0.000) fetch_time=0.402s
[2026-01-03 15:14:00] Fetched: Up(0.000) Down(0.000) fetch_time=0.411s
[2026-01-03 15:14:01] Fetched: Up(0.000) Down(0.000) fetch_time=0.397s
[2026-01-03 15:14:02] Fetched: Up(0.000) Down(0.000) fetch_time=0.410s
[2026-01-03 15:14:03] Fetched: Up(0.000) Down(0.000) fetch_time=0.399s
--> Flushed 5 records to disk.
[2026-01-03 15:14:04] Fetched: Up(0.000) Down(0.000) fetch_time=0.458s
[2026-01-03 15:14:05] Fetched: Up(0.000) Down(0.000) fetch_time=0.411s
[2026-01-03 15:14:06] Fetched: Up(0.000) Down(0.000) fetch_time=0.396s
[2026-01-03 15:14:07] Fetched: Up(0.000) Down(0.000) fetch_time=0.447s
[2026-01-03 15:14:08] Fetched: Up(0.000) Down(0.000) fetch_time=0.394s
--> Flushed 5 records to disk.
[2026-01-03 15:14:09] Fetched: Up(0.000) Down(0.000) fetch_time=0.393s
[2026-01-03 15:14:10] Fetched: Up(0.000) Down(0.000) fetch_time=0.393s
[2026-01-03 15:14:11] Fetched: Up(0.000) Down(0.000) fetch_time=0.398s
[2026-01-03 15:14:12] Fetched: Up(0.000) Down(0.000) fetch_time=0.399s
[2026-01-03 15:14:13] Fetched: Up(0.000) Down(0.000) fetch_time=0.379s
