Starting Threaded Data Logger...
 - Fetch Interval: 1s
 - Write Buffer: 5s
 - Max Concurrent Requests: 15
Writer thread started.
   [Time] Gamma API btc-updown-15m-1767453300: 0.261s
[2026-01-03 15:23:34] Fetched: Up(0.625) Down(0.375) fetch_time=0.807s
[2026-01-03 15:23:35] Fetched: Up(0.625) Down(0.380) fetch_time=0.436s
[2026-01-03 15:23:36] Fetched: Up(0.620) Down(0.380) fetch_time=0.456s
[2026-01-03 15:23:37] Fetched: Up(0.635) Down(0.365) fetch_time=0.419s
[2026-01-03 15:23:38] Fetched: Up(0.625) Down(0.375) fetch_time=0.469s
--> Flushed 5 records to disk.
[2026-01-03 15:23:39] Fetched: Up(0.555) Down(0.445) fetch_time=0.438s
[2026-01-03 15:23:40] Fetched: Up(0.565) Down(0.415) fetch_time=0.435s
[2026-01-03 15:23:41] Fetched: Up(0.575) Down(0.420) fetch_time=0.474s
[2026-01-03 15:23:42] Fetched: Up(0.565) Down(0.435) fetch_time=0.472s
